Lot,Pen,Tag Color,Program Type,Breed,Zone,In Date,Ship Date,DOF,DBS,30 Month Date,In Wt,Current Wt,Sex,Risk,Owner,Origin,Buyer,Receive,Live,Home,Buller,Hosp,Hosp%,Ship,Dead,Dead%,Transfer Out,1st Pull,1st Pull%,2nd Pull,2nd Pull%,Total Pull,Total Pull%,Railed,Railed%,Mass Proc $,Mass Proc $/hd,Mass Trmt $,Mass Trmt $/hd,Trmt $,Trmt $/hd,4D Avg,4D DM Avg,7D Avg,7D DM Avg,14D Avg,14D DM Avg,Fed/Hd,DM Fed/Hd,Ration,Phase,DOP,DOR,ADG,Avg Dly Cst,LTD Avg,LTD DM Avg,DTTR,CV% 4D,CV% 4D DM,CV% 7D,CV% 7D DM,CV% 14D,CV% 14D DM,CV% LTD,CV% LTD DM,Note,Area/Hd,Lot Desc,...71
201,HAYPEN,NA,NA,NA,NA,10/10/22,08/24/24,611,74,NA,510,"2,441",Mixed,Unknown,1NC.,1WFI,NA,9,3,3,0,0,0.00,1,5,55.56,0,6.00,66.67,3.00,50.00,14.00,155.56,0,0.00,190.62,21.18,0.00,0.00,219.81,24.42,0.0,0.0,0.8,0.4,0.8,0.4,0.0,0.0,NA,DFTPHS,138,138,3.16,0.00,14.9,8.6,0,0.00,0.00,0.00,0.00,10.83,15.56,74.57,75.33,mixed ranch tags,0,NA,NA
202,204,ORANGE,NA,NA,NA,10/13/22,10/05/24,608,116,NA,714,"1,367",Steer,Unknown,1NC.,2 KS,NA,277,4,4,0,0,0.00,270,3,1.08,0,80.00,28.88,14.00,17.50,102.00,36.82,1,0.36,"5,317.37",19.20,0.00,0.00,"2,103.83",7.60,39.0,26.4,38.3,25.9,40.1,27.1,40.9,27.7,F5W,F5W,40,40,1.07,0.05,37.1,24.3,489,2.89,2.93,3.25,3.34,6.44,6.42,66.31,65.91,MCC,0,NA,NA
202,BURDICK,ORANGE,NA,NA,NA,10/13/22,08/09/24,608,59,NA,581,"1,323",Steer,Unknown,1NC.,2 KS,NA,14,2,2,0,0,0.00,5,7,50.00,0,12.00,85.71,9.00,75.00,24.00,171.43,5,35.71,153.21,10.94,0.00,0.00,461.09,32.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,DFTPHS,103,103,1.22,0.00,21.2,11.9,0,0.00,0.00,0.00,0.00,0.00,0.00,19.29,18.06,MCC,0,NA,NA
202,HAYPEN,ORANGE,NA,NA,NA,10/13/22,08/09/24,608,59,NA,650,"1,475",Steer,Unknown,1NC.,2 KS,NA,1,1,1,0,0,0.00,0,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,9.54,9.54,0.00,0.00,0.00,0.00,0.0,0.0,0.8,0.4,0.8,0.4,0.0,0.0,NA,DFTPHS,138,138,1.36,0.00,14.9,8.6,0,0.00,0.00,0.00,0.00,10.83,15.56,74.57,75.33,MCC,0,NA,NA
203,204,YELLOW,NA,NA,NA,10/19/22,01/16/23,602,-512,NA,525,"2,672",Mixed,Unknown,1NC.,3try,NA,16,3,3,0,0,0.00,12,1,6.25,0,3.82,23.86,1.91,50.00,5.73,35.80,0,0.00,387.09,24.19,0.00,0.00,59.79,3.74,39.0,26.4,38.3,25.9,40.1,27.1,40.9,27.7,F5W,F5W,40,40,3.57,0.25,37.1,24.3,489,2.89,2.93,3.25,3.34,6.44,6.42,66.31,65.91,NA,0,NA,NA
204,204,YELLOW,NA,NA,NA,10/28/22,08/24/24,593,74,NA,550,"1,249",Steer,Unknown,1NC.,4ERS,NA,79,4,4,0,0,0.00,72,3,3.80,0,34.94,44.23,5.19,14.87,43.13,54.60,0,0.00,"1,626.77",20.59,0.00,0.00,719.90,9.11,39.0,26.4,38.3,25.9,40.1,27.1,40.9,27.7,F5W,F5W,40,40,1.18,0.10,37.1,24.3,489,2.89,2.93,3.25,3.34,6.44,6.42,66.31,65.91,NA,0,NA,NA
205,204,ORANGE,NA,NA,NA,11/11/22,09/07/24,579,88,NA,500,"1,259",Steer,Unknown,1NC.,4ERS,NA,20,6,6,0,0,0.00,14,0,0.00,0,6.00,30.00,2.00,33.33,9.00,45.00,0,0.00,618.60,30.93,40.31,2.02,158.64,7.93,39.0,26.4,38.3,25.9,40.1,27.1,40.9,27.7,F5W,F5W,40,40,1.31,0.30,37.1,24.3,489,2.89,2.93,3.25,3.34,6.44,6.42,66.31,65.91,NA,0,NA,NA
205,HAYPEN,ORANGE,NA,NA,NA,11/11/22,09/07/24,579,88,NA,500,"1,362",Steer,Unknown,1NC.,4ERS,NA,4,3,3,0,0,0.00,1,0,0.00,0,3.00,75.00,3.00,100.00,13.00,325.00,1,25.00,29.16,7.29,8.06,2.02,214.20,53.55,0.0,0.0,0.8,0.4,0.8,0.4,0.0,0.0,NA,DFTPHS,138,138,1.49,0.00,14.9,8.6,0,0.00,0.00,0.00,0.00,10.83,15.56,74.57,75.33,NA,0,NA,NA
207,204,YELLOW,NA,NA,NA,02/06/23,10/06/23,492,-249,NA,700,"1,567",Steer,Unknown,1NC.,5MCC,NA,9,1,1,0,0,0.00,6,2,22.22,0,3.00,33.33,0.00,0.00,3.00,33.33,0,0.00,269.09,29.90,0.00,0.00,33.22,3.69,39.0,26.4,38.3,25.9,40.1,27.1,40.9,27.7,F5W,F5W,40,40,1.76,0.41,37.1,24.3,489,2.89,2.93,3.25,3.34,6.44,6.42,66.31,65.91,NA,0,NA,NA
208,102,NA,NA,NA,NA,12/21/23,04/08/25,174,301,NA,600,946,Steer,Unknown,1NC.,6man,NA,2,2,2,0,0,0.00,0,0,0.00,0,2.00,100.00,0.00,0.00,2.00,100.00,0,0.00,34.14,17.07,0.00,0.00,60.87,30.44,39.3,26.6,39.2,26.5,38.7,26.2,39.0,26.4,F5W,F5W,40,40,1.99,2.00,31.4,20.3,88,1.36,1.26,1.16,1.11,1.96,1.93,16.96,21.63,NA,0,NA,NA
208,105,NA,NA,NA,NA,04/27/23,12/24/24,412,196,NA,650,"1,209",Mixed,Unknown,1NC.,6man,NA,2,1,1,0,0,0.00,1,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,28.39,14.20,0.00,0.00,0.00,0.00,37.3,25.2,35.5,24.0,39.4,26.6,43.8,29.6,F5W,F5W,40,40,1.36,0.37,30.6,19.3,343,13.28,13.29,13.51,13.50,18.95,18.95,28.55,33.56,NA,0,NA,NA
